,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
150,200.96145190498808,30.0,41920.25738379443,1355.8232931726907,6224.108403125662,230.96145190498808,55398.85111945011,Return,6,negbin_15,1,100.0
151,240.96385542168676,30.0,58063.57961968356,1355.8232931726907,7228.915662650603,270.96385542168673,73877.23423815746,Largest,6,negbin_15,1,100.0
152,321.4433796158314,30.0,41883.967646532124,1355.8232931726907,31120.542015628314,351.4433796158314,105480.87497096145,Sshaped,6,negbin_15,1,100.0
153,202.76422833489679,30.0,42441.35363378469,1626.6566265060242,6215.0945209761185,232.76422833489679,56172.752938474616,Return,6,bin_50,1,100.0
154,240.96385542168676,30.0,58063.57961968356,1626.6566265060242,7228.915662650603,270.96385542168673,74148.06757149078,Largest,6,bin_50,1,100.0
155,323.2461560457401,30.0,42405.06389652239,1626.6566265060242,31075.472604880597,353.2461560457401,106182.66573278961,Sshaped,6,bin_50,1,100.0
156,202.62419968114193,30.0,42400.47194829557,1630.8232931726907,6215.794664244892,232.62419968114193,56137.438206189705,Return,6,bin_75,1,100.0
157,240.96385542168676,30.0,58063.57961968356,1630.8232931726907,7228.915662650603,270.96385542168673,74152.23423815746,Largest,6,bin_75,1,100.0
158,323.1061273919853,30.0,42364.18221103327,1630.8232931726907,31078.97332122447,353.1061273919853,106152.95214665489,Sshaped,6,bin_75,1,100.0
159,202.55425169405555,30.0,42380.07912752144,1632.9066265060242,6216.144404180325,232.55425169405555,56119.82819861978,Return,6,bin_100,1,100.0
160,240.96385542168676,30.0,58063.57961968356,1632.9066265060242,7228.915662650603,270.96385542168673,74154.31757149078,Largest,6,bin_100,1,100.0
161,323.036179404899,30.0,42343.78939025913,1632.9066265060242,31080.72202090163,353.036179404899,106138.14005856842,Sshaped,6,bin_100,1,100.0
162,207.4800618997546,35.0,44124.265471176994,1712.3493975903616,7396.334630260264,242.4800618997546,60255.64499443521,Return,7,poi,1,100.0
